Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
USA_200;Floride;x #Florida
PROV200;Tampe;x
USA_201;Savannach;x #Georgia
PROV204;Savannach;x
PROV201;Smyrnie;x
PROV2555;Auguste;x
PROV202;Vallée d'Aoste;x
USA_196;Alabame;x #Alabama
PROV195;Econachatee;x
USA_194;Mississippi;x
PROV192;Les Natchez;x
PROV193;Leflore;x
USA_139;Louisiane;x #Louisiana
PROV139;La Nouvelle-Orléans;x
PROV140;Bâton-Rouge;x
PROV141;Nouveau Cadix;x
PROV142;Bossier;x
USA_144;Les Arcansas;x #Arkansas
PROV143;Petite Roche;x
PROV144;De Roche;x
USA_205;Caroline du Sud;x
PROV205;Nouveau Londres;x
PROV206;Alexisville;x
USA_185;Quentaque;x
PROV186;Cesaireville;x
PROV187;Paducach;x
USA_188;Tanacie;x
PROV188;Cité de Nouville;x
USA_178;Ohajo;x
PROV179;Kolombus;x
PROV180;Careva Kruna;x
PROV181;Majami;x
PROV182;Momcilograd;x
PROV183;Beloslava;x
USA_170;Nova Trakija;x
PROV169;Carigrad;x
PROV170;Novi Sad;x
PROV171;Južno Sad;x
PROV172;Zamak Helena;x
USA_168;Iljinovek;x
PROV163;Novi Beograd;x
PROV164;Salnikamen;x
PROV166;Nova Priština;x
PROV165;Jakšagrad;x
PROV167;Zelanopolje;x
PROV168;Zrenjanin;x
USA_176;Nikolas;x
PROV174;Velika Planina;x
PROV173;Dunav;x
PROV175;Sakinov;x
PROV176;Podlese;x
PROV177;Pazardzik;x
USA_162;Leskovnov;x
PROV159;Ljiljavkji;x
PROV162;Alenovic;x
PROV161;Pojezero;x
PROV160;Gornja Panonija;x
PROV158;Novi Zagreb;x
PROV64;Three Rivers;x
PROV65;Neufundlandstadt;x
PROV75;Basque's Port;x
PROV62;Seven Isles;x
PROV69;Small Sault;x
CAN_60;Northern Newfoundland;x
PROV58;Mountreign;x
PROV77;St Peter and Micheal;x
SPA_2209;Cobana;x
PROV2209;Habane;x
PROV2210;Centfeu;x
PROV2211;Commegoieïs;x
PROV2212;St Augustine de Cobane;x
PROV44;L'Oientaname Bay;x
PROV2222;Porte Riche;x
