Key;English;French;German;Polish;Spanish;Italian;Swedish;Czech;Hungarian;Dutch;Portuguese;Russian;Finnish;
EVTNAME27802;Lost Control Over Carpathia;;;;;;;;;;;;;
EVTDESC27802;We failed to put down the rebelions in carpathia, and as the countries around the world started to look down on us and recognize Romania, Hungary and Slovakia we lose our say in the region and have to give up our claims. How unfortunate, our reign shall not forget them and our rule over them for 500 years.;;;;;;;;;;;;;
EVTOPTA27802;We have nothing we can do...;;;;;;;;;;;;;
EVTNAME27803;Lost Control Over Greece;;;;;;;;;;;;;
EVTDESC27803;We failed to put down the rebelions in greece, and as the countries around the world started to look down on us and recognize Greece and their claims. We lose our say in the region and have to give up our claims. How unfortunate, our reign shall not forget them and our rule over them for 500 years.;;;;;;;;;;;;;
EVTOPTA27803;We have nothing we can do...;;;;;;;;;;;;;
EVTNAME27805;Lost Control Over Anatolia and Caucauses;;;;;;;;;;;;;
EVTDESC27805;We failed to put down the rebelions in Anatolia and Caucauses, and as the countries around the world started to look down on us and recognize Turkey, Sorani, Azerbaijan, Armenia and Georgia and their claims. We lose our say in the region and have to give up our claims. How unfortunate, our reign shall not forget them and our rule over them for 400 years.Turks shall not ever try to come to balkans!;;;;;;;;;;;;;
EVTOPTA27805;Turks are free? Oh no, hopefully they won't come after us...;;;;;;;;;;;;;x
EVTNAME27809;Croatian Stress;;;;;;;;;;;;;x
EVTDESC27809;Those foolish Italian wannabes have threathen us to hand them out Croatia! They have choosen the wrong Empire to mess with those fools!;;;;;;;;;;;;;x
EVTOPTA27809;There is nothing we can do.;;;;;;;;;;;;;x
EVTOPTB27809;Let them cook;;;;;;;;;;;;;x
EVTNAME27810;Bosnia Refuses!;;;;;;;;;;;;;x
EVTDESC27810;Bosnia refuses to let their precious Croatia go away? How dare they stand between two Roman brothers? We shall show them what it takes to decline a Italian emperor!;;;;;;;;;;;;;x
EVTOPTA27810;So you have chosen death?;;;;;;;;;;;;;x
EVTNAME37300;Language of The State;;;;;;;;;;;;;x
EVTDESC37300;Inside our state, there are many minorities and duchies who have their own language different than what our constitution is based on. This hasn't been a much of an issue for years previously, but in todays age where nation states are becoming the norm continuing the steps of Bosnians, we have to unite our people and our cultures under one singular form, to manage our kingdom better.;;;;;;;;;;;;;x
EVTOPTA37300;Indeed! Those lowborns have to learn the language of the court! One and only.;;;;;;;;;;;;;x
EVTOPTB37300;Why can't we let people speak their own language?;;;;;;;;;;;;;x
EVTNAME37301;Right to Rule in The State;;;;;;;;;;;;;x
EVTDESC37301;Under our kingdom, there are some duchies that are still controlling important parts of our kingdom. Feudalism was weakened and then later completely destroyed in most other countries, whereas in our state we let the italians escape from the turks and settle in our lands, conquer what's left of province. But the cowards hid behind the Holy Italian Emperor. Ever since then their right to rule was never questioned. But at the age where Switzerland looses control over it's domain and German nationalism on the rise, it is time for us to take the matters to our hands.;;;;;;;;;;;;;x
EVTOPTA37301;Germans were right, nothing about Constantine was Italian. He was the impostor all along!;;;;;;;;;;;;;x
EVTOPTB37301;The Italian Empire shall countinue existing under our kingdom;;;;;;;;;;;;;x
EVTNAME37302;Focus of The State;;;;;;;;;;;;;x
EVTDESC37302;Our state is surrounded by the enemies, all having eyes on our territories. We need to make sure we have allies and expand towards them, making sure their eyes would fall of their sockets. But one shall not forget about the inner politcs as well. Our kingdom is a constitutional one. We have many parties, many issues and most importantly, our economy is completely dependent on farming unlike southern european states. We can't focus on everything, althought that would have been nice;;;;;;;;;;;;;x
EVTOPTA37302;La Liberte ou La Mort!;;;;;;;;;;;;;x
EVTOPTB37302;Of course inner part of our nation is more important;;;;;;;;;;;;;x
EVTNAME37310;French-Occitanian Union's Party Has Been Founded!;;;;;;;;;;;;;x
EVTDESC37310;Some of our people thought the way we were treating our southern population was too harsh. Some people who immigrated to there combined with other people and started seeking ways to fight this 'inequality'. Who knows what they might be planning down there.;;;;;;;;;;;;;x
EVTOPTA37310;French and Occitans united? Under one party? No way!;;;;;;;;;;;;;x
EVTNAME37311;Occitania Uprising;;;;;;;;;;;;;x
EVTDESC37311;Occitanian people, our southern brothers, have risen against us, we don't know their goals just yet but we have to wait and see.;;;;;;;;;;;;;x
EVTOPTA37311;Let's where this leads.;;;;;;;;;;;;;x
EVTOPTB37311;To our United Brothers ßR(switch to France-Unie);;;;;;;;;;;;;x
EVTOPTC37311;We shall seize the Italian crown! ßR(switch to Greek-Empire);;;;;;;;;;;;;x
EVTNAME37312;French Civil War!;;;;;;;;;;;;;x
EVTDESC37312;With the growing tensions in the southern parts of our country, and with the fact that FUP(France Unie Partie) dominating the southern politics, our country finds itself in a situation where our duchies and our people revolt against us. But we shall not lose hope and pray to our gods that this fight will end without bloodshed. For the southerner occitans though, I wish to not say the same things. Our people have decided! They will not stand against these rebellious scum. TO THE ARMS!;;;;;;;;;;;;;x
EVTOPTA37312;Allons enfants de la Patrie! Le jour de gloire est arrive!;;;;;;;;;;;;;x
EVTNAME37313;Civil War is Over;;;;;;;;;;;;;x
EVTDESC37313;Civil war has finally finished. With this comes the question, what will happen to those who rebelled against our nation. This country has suffered enough under politically indecisiveness. Now it's time to make a decision.;;;;;;;;;;;;;x
EVTOPTA37313;They are forgiven!;;;;;;;;;;;;;x
EVTOPTB37313;They shall be taught the ways of France and become proper french men!;;;;;;;;;;;;;x
EVTNAME37314;Breton Throne Claimed!;;;;;;;;;;;;;x
EVTDESC37314;We could conquer all of our enemies' lands. We finally proven ourselves to be worth among the powers of europe and now they look at us in a respective manner. Long Live The King! Long Live The Monarch!;;;;;;;;;;;;;x
EVTOPTA37314;French shall rule over seas and lands!;;;;;;;;;;;;;x
EVTNAME37315;End of Occitania in France;x
EVTDESC37315;Our rule in Occitania has become undeniably strong and people in Occitania started to immitate our way of speaking and living. This shall lead up a new age in our kingdom;x
EVTOPTA37315;Free Occitania? In their dreams.;x
EVTNAME37316;France United Party Legalized!;x
EVTDESC37316;Finally, for the first time, Occitans got representation in this country. Although this legalization made it so that France is more united, southern duchies are not happy with such situation. Their rebellions most be put down;x
EVTOPTA37316;Byzatium have reigned long enough under our borders. Italia Delenda Est;x
EVTNAME27130;Crown over the Seas have fallen;x
EVTDESC27130;Our capital, Vannes have fallen, our crown in Lesser Britany no longer has any saying in the Greater Britain, Greater Britain has seen better days but it was unified by outside forces. Now outside forces are gone meaning the distability is only thing waiting for the Isles.;x
EVTOPTA27130;England First?;x
EVTNAME27030;Status of Eastern Europe;x
EVTDESC27030;Under Rzeczpospolita Obojga Narodow, Ruthenia has been not fully under our control as they were always free to do as they desired. Their freedom is now a threat to our nations well being but we can't force this upon the ruthenians yet.;x
EVTOPTA27030;Rus' Szcze Zywa?;x
EVTNAME27807;Surrender to Turks;x
EVTDESC27807;We lost to the turks in the civil war and we had to sign a peace treaty with them unconditionally.;x
EVTOPTA27807;I guess we have to give in.;x
EVTNAME27808;Surrender to Greeks;x
EVTDESC27808;We lost to the greeks in the civil war and we had to sign a peace treaty with them unconditionally.;x
EVTNAME27811;Surrender to Romans;x
EVTDESC27811;We lost to the romans in the civil war and we had to sign a peace treaty with them unconditionally.;x
EVTNAME27010;Alaska for Alaskans;x
EVTDESC27010;Our colonies past siberia and Na-Dene needs to be governed in a more Europeanized way, how the Spanish and Portuguese took care of their colonies in the new world. By asigning a vicekniezniks to these new lands we expanded and we shall call it Alaska;x
EVTOPTA27010;Cool;x
EVTNAME27831;We Have Lost Czechia;x
EVTDESC27831;Our disconnected territories of Bohemian crown and Moravian crown has been lost. We can no longer keep the claim for this crown nor accept the people of the region into our empire. Our state as the Holy Italian Empire is in danger;x
EVTOPTA27831;Oh ne, anyways.;x
EVTNAME27832;Revolution in Danish Pomerania;x
EVTDESC27832;The idea of the unified German country is growing to be a bigger idea day by day and the Danish government couldn't assert their hegemony in the German speaking realm. Now the Germans have a stronger hold than the scandinavians in the Baltic Sea and they are just becoming more and more of a threat. This led to what happened recently in the Pomerania. Germans sang all at once to be unifed with their brothers.;x
EVT27832OPTA;We shall see what the danish think about this.;x
EVT27832OPTB;We cannot deal with this.;x 
EVTNAME278321;Revolution in Pomerania;x
EVTDESC278321;The idea of the unified German country is growing to be a bigger idea day by day and the our government couldn't assert their hegemony in the German speaking parts of our realm. Now the Germans have a stronger hold than the us in the Eastern Baltic Sea and they are just becoming more and more of a threat. This led to what happened recently in the Pomerania. Germans sang all at once to be unifed with their brothers.;x
EVTOPTA278321;We refuse to give up without a fight!;x
EVTOPTB278321;We are powerless against them;x
EVTNAME27834;Danish Refused our Ultimatum;x
EVTDESC27834;Danish are not afraid of us and they are willing to fight against us over the pomoranian region;x
EVT27834OPTA;Then we have to fight;x
EVT27834OPTB;We will let them have it (if you take Schlesvig ever after this, pomorania will switch to you);x
EVTNAME27833;Lose over Slesvig;x
EVTDESC27833;We have lost the war against the germans, we can no longer hold them in our realm anymore.;x
EVT27833OPTA;Such a shame;x
EVTNAME27812;Battle of Sarajevo;
EVTDESC27812;Hungary revolted against us and also tried to take our brothers in Slovenia and Croatia but we have won this war. Although we have to give up on our claims on Hungary, We are still the winners of this war and one day we can return;x
EVTOPTA27812;Unite with our bratheren.;x
EVTNAME37317;Crack Down on Occitans;x
EVTDESC37317;We have embraced the state system and supremacy of the french culture. All we have to do is now show others our ways;x
EVT37317OPTA;You say?;x
EVTNAME27835;Russian Influence Over White Russia;x
EVTDESC27835;Russia, the state that we, culturaly so similar, has sphered us and we have been alies since. Since then people wanted to join Russian Federation as it offers us a better protection and a better life for our people. They are our brothers and we should join them instead;x
EVT27835OPTA;Let us Join;x
EVTNAME278352;Russian Influence Over Ukraine;x
EVTDESC278352;Russia, the state that we, culturaly so similar, has sphered us and we have been alies since. Since then people wanted to join Russian Federation as it offers us a better protection and a better life for our people. They are our brothers and we should join them instead;x
EVTNAME31506;Toward a New Theatre;Vers un nouveau thÊÆ™tre;Geburt eines neuen Theaterstils;‚Äìiva!;Hacia un nuevo teatro;;;;;;x;;;;;;;
EVTDESC31506;After the brilliant Sarajevan designer Josif Urbansko began working at the Boston Opera Company, design in the American theatre took on a decidedly continental approach, becoming a more dynamic, colorful, and exciting experience.;AprÈãä les travaux du brillant dÂ∂∞orateur viennois Joseph Urban pour la Boston Opera Company, le thÊÆ™tre amÂª®icain a adopt?une approche plus continentale et est ainsi devenu plus dynamique, color?et excitant.;Nachdem der brillante Wiener Designer Josef Urban sein Arbeit bei der Boston Opera Company aufgenommen hatte, bekam das Amerikanische Theater deutlich kontinentale ZÓÖ°e und wurde zu einer dynamischen, farbenfrohen und aufregenden Erfahrung.;Hacia un nuevo teatro;DespuÂª• de que el brillante diseÈéôdor vienÂª• Joseph Urban comenzase a trabajar en la CompaÂäña de Ëàùera de Boston, el diseÈö≥ en el teatro americano ha adoptado decididas tendencias europeas, convirtiÂπØdose en una experiencia mÂ´≥ dinÂ´•ica, vistosa y emocionante.;;;;;;x;;;;;;;
